panneaux;bilan_periode_kWh;besoin_batterie_utilisable_kWh;batteries;capacite_nominale_batteries_kWh;capacite_utilisable_batteries_kWh;cout_panneaux_EUR;cout_batteries_EUR;cout_total_EUR
717;298942.24538;591.0807000000787;352;844.8;591.36;100136.22;158396.48;258532.7
718;299308.34252;590.7378000000608;352;844.8;591.36;100275.88;158396.48;258672.36000000002
719;299674.43966000003;590.394900000043;352;844.8;591.36;100415.54;158396.48;258812.02000000002
720;300040.5368;590.0520000000251;352;844.8;591.36;100555.2;158396.48;258951.68
721;300406.63394;589.7091000000073;352;844.8;591.36;100694.86;158396.48;259091.34000000003
722;300772.73108;589.3662000000477;351;842.4;589.68;100834.52;157946.49;258781.01
723;301138.82822;589.0233000000298;351;842.4;589.68;100974.18;157946.49;258920.66999999998
724;301504.92536;588.680400000012;351;842.4;589.68;101113.84;157946.49;259060.33
725;301871.0225;588.3375000000233;351;842.4;589.68;101253.5;157946.49;259199.99
726;302237.11964;587.9946000000346;350;840.0;588.0;101393.16;157496.5;258889.66
727;302603.21678;587.6517000000458;350;840.0;588.0;101532.81999999999;157496.5;259029.32
728;302969.31392;587.3088000000571;350;840.0;588.0;101672.48;157496.5;259168.97999999998
729;303335.41105999995;586.9659000000393;350;840.0;588.0;101812.14;157496.5;259308.64
730;303701.50820000004;586.6229999999923;350;840.0;588.0;101951.8;157496.5;259448.3
731;304067.60534;586.2801000000909;349;837.6;586.3199999999999;102091.45999999999;157046.51;259137.97
732;304433.70248;585.9372000001022;349;837.6;586.3199999999999;102231.12;157046.51;259277.63
733;304799.79962;585.5943000000261;349;837.6;586.3199999999999;102370.78;157046.51;259417.29
734;305165.89676000003;585.2514000000374;349;837.6;586.3199999999999;102510.44;157046.51;259556.95
735;305531.9939;584.9085000000778;349;837.6;586.3199999999999;102650.09999999999;157046.51;259696.61
736;305898.09104;584.5656000000308;348;835.1999999999999;584.64;102789.76;156596.52;259386.27999999997
737;306264.18817999994;584.222700000013;348;835.1999999999999;584.64;102929.42;156596.52;259525.94
738;306630.28531999997;583.8798000000825;348;835.1999999999999;584.64;103069.08;156596.52;259665.59999999998
739;306996.38246;583.5369000000355;348;835.1999999999999;584.64;103208.73999999999;156596.52;259805.25999999998
740;307362.47959999996;583.1940000000468;348;835.1999999999999;584.64;103348.4;156596.52;259944.91999999998
741;307728.57674;582.851100000029;347;832.8;582.9599999999999;103488.06;156146.53;259634.59
742;308094.67387999996;582.5082000000111;347;832.8;582.9599999999999;103627.72;156146.53;259774.25
743;308460.77102;582.1653000000515;347;832.8;582.9599999999999;103767.38;156146.53;259913.91
744;308826.86816;581.8224000000919;347;832.8;582.9599999999999;103907.04;156146.53;260053.57
745;309192.96530000004;581.4795000000449;347;832.8;582.9599999999999;104046.7;156146.53;260193.22999999998
746;309559.06244;581.136599999998;346;830.4;581.28;104186.36;155696.54;259882.90000000002
747;309925.15958;580.7937000000966;346;830.4;581.28;104326.02;155696.54;260022.56
748;310291.25672;580.4508000000205;346;830.4;581.28;104465.68;155696.54;260162.22
749;310657.35386000003;580.1079000000609;346;830.4;581.28;104605.34;155696.54;260301.88
750;311023.451;579.7650000000722;346;830.4;581.28;104745.0;155696.54;260441.54
751;311389.54813999997;579.4221000000252;345;828.0;579.6;104884.66;155246.55000000002;260131.21000000002
752;311755.64528;579.0792000000365;345;828.0;579.6;105024.31999999999;155246.55000000002;260270.87
753;312121.74241999997;578.7362999999896;345;828.0;579.6;105163.98;155246.55000000002;260410.53000000003
754;312487.83956;578.393400000059;345;828.0;579.6;105303.64;155246.55000000002;260550.19
755;312853.9367;578.0505000000412;345;828.0;579.6;105443.3;155246.55000000002;260689.85000000003
756;313220.03384000005;577.7076000000234;344;825.6;577.92;105582.95999999999;154796.56;260379.52
757;313586.13098;577.3647000000637;344;825.6;577.92;105722.62;154796.56;260519.18
758;313952.22812;577.0218000000459;344;825.6;577.92;105862.28;154796.56;260658.84
759;314318.32525999995;576.6789000000572;344;825.6;577.92;106001.94;154796.56;260798.5
760;314684.4224;576.3360000000393;344;825.6;577.92;106141.59999999999;154796.56;260938.15999999997
761;315050.51954;575.9931000000215;343;823.1999999999999;576.24;106281.26;154346.57;260627.83000000002
762;315416.61668;575.6502000000328;343;823.1999999999999;576.24;106420.92;154346.57;260767.49
763;315782.71381999995;575.3073000001023;343;823.1999999999999;576.24;106560.58;154346.57;260907.15000000002
764;316148.81096000003;574.9644000000844;343;823.1999999999999;576.24;106700.23999999999;154346.57;261046.81
765;316514.9081;574.6215000000084;343;823.1999999999999;576.24;106839.9;154346.57;261186.47
766;316881.00523999997;574.2786000000779;342;820.8;574.56;106979.56;153896.58000000002;260876.14
767;317247.10238;573.93570000006;342;820.8;574.56;107119.22;153896.58000000002;261015.80000000002
768;317613.19952;573.5928000000422;342;820.8;574.56;107258.88;153896.58000000002;261155.46000000002
769;317979.29666;573.2498999999953;342;820.8;574.56;107398.54;153896.58000000002;261295.12
770;318345.3938;572.9070000000647;342;820.8;574.56;107538.2;153896.58000000002;261434.78000000003
771;318711.49094;572.5641000000469;341;818.4;572.88;107677.86;153446.59;261124.45
